B49,Micose não especificada,–,–,–,–,–,–,–,–,–,–,–,–
B50-B64,Doenças devidas a protozoários,1 1,16,20,21,11,23,16,26,33,27,18,14
B50,Malária por Plasmodium falciparum,1,4,–,–,–,–,2,–,–,1,–,–
B51,Malária por Plasmodium vivax,–,3,–,–,–,3,–,–,1,–,2,2
B52,Malária por Plasmodium malariae,–,–,–,–,–,–,–,–,1,–,–,–
B53,Outras formas de malária confirmadas por exames parasitológ,–,–,–,2,–,–,–,–,–,–,–,–
B54,Malária não especificada,–,–,–,–,–,–,–,–,–,–,–,–
B55,Leishmaniose,1 0,9,19,18,11,20,14,26,31,26,15,12
B56,Tripanossomíase africana,–,–,–,–,–,–,–,–,–,–,–,–
B57,Doença de Chagas,–,–,1,–,–,–,–,–,–,–,1,–
B58,Toxoplasmose,–,–,–,–,–,–,–,–,–,–,–,–
B59,Pneumocistose,–,–,–,–,–,–,–,–,–,–,–,–
B60,"Outras doenças devidas a protozoários, não classificadas em o",–,–,–,1,–,–,–,–,–,–,–,–
B64,Doença não especificada devida a protozoários,–,–,–,–,–,–,–,–,–,–,–,–
B65-B83,Helmintíases,–,–,–,–,–,–,–,–,–,–,–,–
B65,Esquistossomose [bilharziose] [Schistosomíase],–,–,–,–,–,–,–,–,–,–,–,–
B66,Outras infestações por trematódeos,–,–,–,–,–,–,–,–,–,–,–,–
B67 Equinococose,,–,–,–,–,–,–,–,–,–,–,–,–
B68 Infestação por Taenia,,–,–,–,–,–,–,–,–,–,–,–,–
B69 Cisticercose,,–,–,–,–,–,–,–,–,–,–,–,–
B70 Difilobotríase e esparganose,,–,–,–,–,–,–,–,–,–,–,–,–
B71 Outras infestações por cestóides,,–,–,–,–,–,–,–,–,–,–,–,–
B72 Dracontíase,,–,–,–,–,–,–,–,–,–,–,–,–
B73 Oncocercose,,–,–,–,–,–,–,–,–,–,–,–,–
B74 Filariose,,–,–,–,–,–,–,–,–,–,–,–,–
B75 Triquinose,,–,–,–,–,–,–,–,–,–,–,–,–
B76 Ancilostomíase,,–,–,–,–,–,–,–,–,–,–,–,–
B77 Ascaridíase,,–,–,–,–,–,–,–,–,–,–,–,–
B78 Estrongiloidíase,,–,–,–,–,–,–,–,–,–,–,–,–
B79 Tricuríase,,–,–,–,–,–,–,–,–,–,–,–,–
B80 Oxiuríase,,–,–,–,–,–,–,–,–,–,–,–,–
"B81 Outras helmintíases intestinais, não classificadas em outra par",,–,–,–,–,–,–,–,–,–,–,–,–
B82 Parasitose intestinal não especificada,,–,–,–,–,–,–,–,–,–,–,–,–
B83 Outras helmintíases,,–,–,–,–,–,–,–,–,–,–,–,–
"B85-B89 Pediculose, acaríase e outras infestações",,–,–,–,–,–,–,–,–,–,–,–,–
B85 Pediculose e ftiríase,,–,–,–,–,–,–,–,–,–,–,–,–
B86 Escabiose [sarna],,–,–,–,–,–,–,–,–,–,–,–,–
B87 Miíase,,–,–,–,–,–,–,–,–,–,–,–,–
B88 Outras infestações,,–,–,–,–,–,–,–,–,–,–,–,–
B89 Doença parasitária não especificada,,–,–,–,–,–,–,–,–,–,–,–,–
B90-B94 Seqüelas de doenças infecciosas e parasitárias,,–,–,–,–,–,–,1,–,–,–,3,–
B90 Seqüelas de tuberculose,,–,–,–,–,–,–,–,–,–,–,1,–
B91 Seqüelas de poliomielite,,–,–,–,–,–,–,–,–,–,–,1,–
B92 Seqüelas de hanseníase [lepra],,–,–,–,–,–,–,1,–,–,–,1,–
B94 Seqüelas de outras doenças infecciosas e parasitárias e das n,,–,–,–,–,–,–,–,–,–,–,–,–
"B95-B97 Agentes de infecções bacterianas, virais e outros agentes",,–,–,–,–,–,–,–,–,–,–,–,–
B95 Estreptococos e estafilococos como causa de doenças classifi,,–,–,–,–,–,–,–,–,–,–,–,–
"B96 Outros agentes bacterianos, como causa de doenças classifica",,–,–,–,–,–,–,–,–,–,–,–,–
B97 Vírus como causa de doenças classificadas em outros capítulo,,–,–,–,–,–,–,–,–,–,–,–,–
B99 Outras doenças infecciosas,,–,–,–,–,–,–,–,–,–,–,–,–
"B99 Doenças infecciosas, outras e as não especificadas",,–,–,–,–,–,–,–,–,–,–,–,–
Capítulo II: Neoplasias [tumores] (C00-D48),,74,68,74,92,74,60,85,67,87,80,74,49
C00-C97 Neoplasias [tumores] malignas(os),,7 2,63,68,87,70,58,81,62,77,70,66,46
"C00-C14 Neoplasias [tumores] malignas(os) do lábio, cavidade oral",,–,1,–,–,–,–,–,–,–,2,–,1
C00 Neoplasia maligna do lábio,,–,–,–,–,–,–,–,–,–,1,–,–
C01 Neoplasia maligna da base da língua,,–,–,–,–,–,–,–,–,–,–,–,–
C02 Neoplasia maligna de outras partes e de partes não especifica,,–,–,–,–,–,–,–,–,–,–,–,–
C03 Neoplasia maligna da gengiva,,–,–,–,–,–,–,–,–,–,–,–,–
C04 Neoplasia maligna do assoalho da boca,,–,–,–,–,–,–,–,–,–,–,–,–
C05 Neoplasia maligna do pálato,,–,–,–,–,–,–,–,–,–,–,–,–
C06 Neoplasia maligna de outras partes e de partes não especifica,,–,1,–,–,–,–,–,–,–,1,–,–
C07 Neoplasia maligna da glândula parótida,,–,–,–,–,–,–,–,–,–,–,–,–
C08 Neoplasia maligna de outras glândulas salivares maiores e as,,–,–,–,–,–,–,–,–,–,–,–,–
C09 Neoplasia maligna da amígdala,,–,–,–,–,–,–,–,–,–,–,–,–
C10 Neoplasia maligna da orofaringe,,–,–,–,–,–,–,–,–,–,–,–,1
C11 Neoplasia maligna da nasofaringe,,–,–,–,–,–,–,–,–,–,–,–,–
C12 Neoplasia maligna do seio piriforme,,–,–,–,–,–,–,–,–,–,–,–,–
C13 Neoplasia maligna da hipofaringe,,–,–,–,–,–,–,–,–,–,–,–,–
C14 Neoplasia maligna de outras localizações e de localizações ma,,–,–,–,–,–,–,–,–,–,–,–,–
C15-C26 Neoplasias [tumores] malignas(os) dos órgãos digestivos,,11,7,4,12,10,8,10,3,9,8,5,6
C15 Neoplasia maligna do esôfago,,–,1,–,–,–,–,1,–,–,–,–,–
C16 Neoplasia maligna do estômago,,1 0,4,3,6,8,6,7,2,6,6,5,5
C17 Neoplasia maligna do intestino delgado,,–,–,–,–,–,–,–,–,–,–,–,–
C18,Neoplasia maligna do cólon,1,–,–,–,–,–,–,–,–,–,–,–
C19,Neoplasia maligna da junção retossigmóide,–,–,–,–,–,–,–,–,–,–,–,–
C20,Neoplasia maligna do reto,–,–,–,–,–,1,1,–,–,–,–,–
C21,Neoplasia maligna do ânus e do canal anal,–,–,–,–,–,–,–,–,–,–,–,–
C22,Neoplasia maligna do fígado e das vias biliares intra-hepáticas,–,–,–,–,–,–,–,–,–,–,–,–
C23,Neoplasia maligna da vesícula biliar,–,–,–,–,–,–,–,–,–,–,–,–
C24,"Neoplasia maligna de outras partes, e de partes não especifica",–,–,–,–,–,–,–,–,–,–,–,–
C25,Neoplasia maligna do pâncreas,–,2,1,6,2,1,1,1,3,2,–,1
C26,Neoplasia maligna de outros órgãos digestivos e de localizaçõ,–,–,–,–,–,–,–,–,–,–,–,–
C30-C39,Neoplasias [tumores] malignas(os) do aparelho respiratóri,9,15,16,11,11,10,11,7,7,4,7,7
C30,Neoplasia maligna da cavidade nasal e do ouvido médio,1,–,–,–,–,1,–,1,–,–,–,–
C31,Neoplasia maligna dos seios da face,–,2,–,–,1,–,2,1,2,–,–,1
C32,Neoplasia maligna da laringe,4,8,7,4,2,3,–,1,1,1,3,–
C33,Neoplasia maligna da traquéia,–,–,–,–,–,–,–,–,–,–,–,–
C34,Neoplasia maligna dos brônquios e dos pulmões,3,5,9,7,8,6,9,4,4,3,4,6
C37,Neoplasia maligna do timo,–,–,–,–,–,–,–,–,–,–,–,–
C38,"Neoplasia maligna do coração, mediastino e pleura",–,–,–,–,–,–,–,–,–,–,–,–
C39,Neoplasia maligna de outras localizações e de localizações ma,1,–,–,–,–,–,–,–,–,–,–,–
C40-C41,Neoplasias [tumores] malignas(os) dos ossos e das cartila,–,1,1,4,1,2,3,1,–,–,1,–
C40,Neoplasia maligna dos ossos e cartilagens articulares dos mem,–,1,1,4,1,2,3,1,–,–,1,–
C41,Neoplasia maligna dos ossos e das cartilagens articulares de o,–,–,–,–,–,–,–,–,–,–,–,–
C43-C44,Melanoma e outras(os) neoplasias [tumores] malignas(os),40,28,41,50,32,30,45,40,44,41,41,23
C43,Melanoma maligno da pele,–,–,–,–,–,–,–,–,–,3,–,–
C44,Outras neoplasias malignas da pele,4 0,28,41,50,32,30,45,40,44,38,41,23
C45-C49,Neoplasias [tumores] malignas(os) do tecido mesotelial e,1,–,–,–,–,–,–,–,–,1,1,1
C45,Mesotelioma,1,–,–,–,–,–,–,–,–,–,–,1
C46,Sarcoma de Kaposi,–,–,–,–,–,–,–,–,–,–,–,–
C47,Neoplasia maligna dos nervos periféricos e do sistema nervoso,–,–,–,–,–,–,–,–,–,–,–,–
C48,Neoplasia maligna dos tecidos moles do retroperitônio e do pe,–,–,–,–,–,–,–,–,–,–,–,–
C49,Neoplasia maligna do tecido conjuntivo e de outros tecidos mo,–,–,–,–,–,–,–,–,–,1,1,–
C50,Neoplasias [tumores] malignas(os) da mama,–,–,–,–,–,–,–,–,–,1,1,1
C50,Neoplasia maligna da mama,–,–,–,–,–,–,–,–,–,1,1,1
C51-C58,Neoplasias [tumores] malignas(os) dos órgãos genitais fem,–,–,–,–,–,–,–,–,–,1,–,–
C51,Neoplasia maligna da vulva,–,–,–,–,–,–,–,–,–,–,–,–
C52,Neoplasia maligna da vagina,–,–,–,–,–,–,–,–,–,–,–,–
C53,Neoplasia maligna do colo do útero,–,–,–,–,–,–,–,–,–,–,–,–
C54,Neoplasia maligna do corpo do útero,–,–,–,–,–,–,–,–,–,–,–,–
C55,"Neoplasia maligna do útero, porção não especificada",–,–,–,–,–,–,–,–,–,1,–,–
C56,Neoplasia maligna do ovário,–,–,–,–,–,–,–,–,–,–,–,–
C57,Neoplasia maligna de outros órgãos genitais femininos e dos n,–,–,–,–,–,–,–,–,–,–,–,–
C58,Neoplasia maligna da placenta,–,–,–,–,–,–,–,–,–,–,–,–
C60-C63,Neoplasias [tumores] malignas(os) dos órgãos genitais ma,–,–,1,–,–,–,–,–,1,–,1,–
C60,Neoplasia maligna do pênis,–,–,1,–,–,–,–,–,1,–,–,–
C61,Neoplasia maligna da próstata,–,–,–,–,–,–,–,–,–,–,1,–
C62,Neoplasia maligna dos testículos,–,–,–,–,–,–,–,–,–,–,–,–
C63,Neoplasia maligna de outros órgãos genitais masculinos e dos,–,–,–,–,–,–,–,–,–,–,–,–
C64-C68,Neoplasias [tumores] malignas(os) do trato urinário,–,4,1,1,5,1,7,3,3,3,1,1
C64,"Neoplasia maligna do rim, exceto pelve renal",–,–,–,–,–,–,–,–,–,–,–,–
C65,Neoplasia maligna da pelve renal,–,–,–,–,–,–,–,–,–,–,–,–
C66,Neoplasia maligna dos ureteres,–,–,–,–,–,–,–,–,–,–,–,–
C67,Neoplasia maligna da bexiga,–,4,1,1,5,1,7,3,3,3,1,1
C68,Neoplasia maligna de outros órgãos urinários e dos não espec,–,–,–,–,–,–,–,–,–,–,–,–
C69-C72,"Neoplasias [tumores] malignas(os) dos olhos, do encéfalo",–,–,–,–,1,–,–,–,–,–,–,–
C69,Neoplasia maligna do olho e anexos,–,–,–,–,–,–,–,–,–,–,–,–
C70,Neoplasia maligna das meninges,–,–,–,–,–,–,–,–,–,–,–,–
C71,Neoplasia maligna do encéfalo,–,–,–,–,1,–,–,–,–,–,–,–
C72,"Neoplasia maligna da medula espinhal, dos nervos cranianos e",–,–,–,–,–,–,–,–,–,–,–,–
C73-C75,Neoplasias [tumores] malignas(os) da tireóide e de outras,–,–,–,–,–,–,–,–,–,–,–,–
C73,Neoplasia maligna da glândula tireóide,–,–,–,–,–,–,–,–,–,–,–,–
C74,Neoplasia maligna da glândula supra-renal,–,–,–,–,–,–,–,–,–,–,–,–
C75,Neoplasia maligna de outras glândulas endócrinas e de estrutu,–,–,–,–,–,–,–,–,–,–,–,–
C76-C80,Neoplasias [tumores] malignas(os) de localizações mal de,–,–,–,–,–,–,–,–,–,–,–,–
C76,Neoplasia maligna de outras localizações e de localizações ma,–,–,–,–,–,–,–,–,–,–,–,–
C77,Neoplasia maligna secundária e não especificada dos gânglios,–,–,–,–,–,–,–,–,–,–,–,–
C78,Neoplasia maligna secundária dos órgãos respiratórios e diges,–,–,–,–,–,–,–,–,–,–,–,–
C79,Neoplasia maligna secundária de outras localizações,–,–,–,–,–,–,–,–,–,–,–,–
C80,"Neoplasia maligna, sem especificação de localização",–,–,–,–,–,–,–,–,–,–,–,–
C81-C96,"Neoplasias [tumores] malignas(os) do tecido linfático, hem",11,7,4,9,10,7,5,8,13,9,8,6
C81,Doença de Hodgkin,–,–,–,–,–,–,–,–,–,–,–,–
C82,"Linfoma não-Hodgkin, folicular (nodular)",–,–,–,–,–,–,–,–,–,–,–,–
C83,Linfoma não-Hodgkin difuso,–,1,–,–,–,–,–,1,–,–,–,–
C84,Linfomas de células T cutâneas e periféricas,–,–,–,1,–,–,–,–,1,1,–,–
C85,Linfoma não-Hodgkin de outros tipos e de tipo não especificad,–,1,–,–,–,–,–,–,–,1,–,–
C88,Doenças imunoproliferativas malignas,–,–,–,–,–,–,–,–,–,–,–,–
C90,Mieloma múltiplo e neoplasias malignas de plasmócitos,–,–,–,–,–,–,–,–,–,–,–,–
C91,Leucemia linfóide,1,1,1,2,2,1,2,3,3,3,1,1
C92,Leucemia mielóide,7,4,2,6,7,5,3,3,7,3,6,4
C93,Leucemia monocítica,–,–,–,–,–,–,–,–,1,–,–,–
C94,Outras leucemias de células de tipo especificado,1,–,–,–,1,–,–,–,–,–,–,1
C95,Leucemia de tipo celular não especificado,2,–,1,–,–,1,–,1,1,1,1,–
C96,Outras neoplasias malignas e as não especificadas dos tecido,–,–,–,–,–,–,–,–,–,–,–,–
C97,Neoplasias [tumores] malignas(os) de localizações múltipl,–,–,–,–,–,–,–,–,–,–,–,–
C97,Neoplasias malignas de localizações múltiplas independentes,–,–,–,–,–,–,–,–,–,–,–,–
D00-D09,Neoplasias [tumores] in situ,1,–,–,2,–,–,–,1,1,–,–,1
D00,"Carcimona in situ da cavidade oral, do esôfago e do estômago",–,–,–,–,–,–,–,–,–,–,–,–
D01,Carcimona in situ de outros órgãos digestivos,–,–,–,–,–,–,–,–,–,–,–,–
D02,Carcinoma in situ do ouvido médio e do aparelho respiratório,1,–,–,–,–,–,–,–,–,–,–,–
D03,Melanoma in situ,–,–,–,–,–,–,–,–,–,–,–,–
D04,Carcinoma in situ da pele,–,–,–,2,–,–,–,1,1,–,–,1
D05,Carcinoma in situ da mama,–,–,–,–,–,–,–,–,–,–,–,–
D06,Carcinoma in situ do colo do útero (cérvix),–,–,–,–,–,–,–,–,–,–,–,–
D07,Carcinoma in situ de outros órgãos genitais e dos não especifi,–,–,–,–,–,–,–,–,–,–,–,–
D09,Carcinoma in situ de outras localizações e das não especificad,–,–,–,–,–,–,–,–,–,–,–,–
D10-D36,Neoplasias [tumores] benignas(os),–,4,2,1,2,2,2,2,9,8,4,1
D10,Neoplasia benigna da boca e da faringe,–,–,–,–,–,–,–,–,–,–,–,–
D11,Neoplasia benigna de glândulas salivares maiores,–,–,–,–,–,–,–,–,–,–,–,–
D12,"Neoplasia benigna do cólon, reto, canal anal e ânus",–,–,–,–,–,–,–,–,–,–,–,–
D13,Neoplasia benigna de outras partes e de partes mal definidas d,–,–,–,–,–,–,–,–,–,–,–,–
D14,Neoplasia benigna do ouvido médio e do aparelho respiratório,–,–,–,–,–,–,–,–,5,2,1,–
D15,Neoplasia benigna de outros órgãos intratorácicos e dos não e,–,–,–,–,–,–,–,–,–,–,–,–
D16,Neoplasia benigna de osso e de cartilagem articular,–,1,1,–,–,1,–,1,–,–,2,–
D17,Neoplasia lipomatosa benigna,–,–,–,–,–,–,–,–,–,–,–,–
D18,Hemangioma e linfangioma de qualquer localização,–,1,1,–,–,–,–,1,–,–,–,–
D19,Neoplasia benigna de tecido mesotelial,–,–,–,–,–,–,–,–,–,–,–,–
D20,Neoplasia benigna de tecido mole do retroperitônio e do peritô,–,–,–,–,–,–,–,–,–,–,–,–
D21,Outras neoplasias benignas do tecido conjuntivo e de outros te,–,–,–,–,–,–,–,–,1,1,1,–
